time,current bs,availability,cio,hyst,ttt
0.0,12,1.0,0.0,1.0,0.08
1.0,12,1.0,0.0,1.0,0.08
2.0,12,1.0,0.0,1.0,0.08
3.0,12,1.0,0.0,1.0,0.08
4.0,12,1.0,0.0,1.0,0.08
5.0,12,1.0,0.0,1.0,0.08
6.0,12,1.0,0.0,1.0,0.08
7.0,12,1.0,0.0,1.0,0.08
8.0,12,1.0,0.0,1.0,0.08
9.0,12,1.0,0.0,1.0,0.08
10.0,12,1.0,0.0,1.0,0.08
11.0,12,1.0,0.0,1.0,0.08
12.0,12,1.0,0.0,1.0,0.08
13.0,12,1.0,0.0,1.0,0.08
14.0,12,1.0,0.0,1.0,0.08
15.0,12,1.0,0.0,1.0,0.08
16.0,12,1.0,0.0,1.0,0.08
17.0,12,1.0,0.0,1.0,0.08
18.0,12,0.982,0.0,1.0,0.08
19.0,12,0.991,0.0,1.0,0.08
20.0,12,1.0,0.0,1.0,0.08
21.0,12,0.982,0.0,1.0,0.08
22.0,12,1.0,0.0,1.0,0.08
23.0,12,1.0,0.0,1.0,0.08
24.0,12,1.0,0.0,1.0,0.08
25.0,12,1.0,0.0,1.0,0.08
26.0,12,1.0,0.0,1.0,0.08
27.0,12,1.0,0.0,1.0,0.08
28.0,12,1.0,0.0,1.0,0.08
29.0,12,1.0,0.0,1.0,0.08
30.0,12,1.0,0.0,1.0,0.08
31.0,12,1.0,0.0,1.0,0.08
32.0,12,1.0,0.0,1.0,0.08
33.0,12,1.0,0.0,1.0,0.08
34.0,12,1.0,0.0,1.0,0.08
35.0,12,1.0,0.0,1.0,0.08
36.0,12,1.0,0.0,1.0,0.08
37.0,12,1.0,0.0,1.0,0.08
38.0,12,1.0,0.0,1.0,0.08
39.0,12,0.991,0.0,1.0,0.08
40.0,12,0.982,0.0,1.0,0.08
41.0,12,0.982,0.0,1.0,0.08
