time,current bs,availability,cio,hyst,ttt
0.0,6,1.0,0.0,1.0,0.08
1.0,6,1.0,0.0,1.0,0.08
2.0,6,1.0,0.0,1.0,0.08
3.0,6,1.0,0.0,1.0,0.08
4.0,6,1.0,0.0,1.0,0.08
5.0,6,1.0,0.0,1.0,0.08
6.0,6,1.0,0.0,1.0,0.08
7.0,6,1.0,0.0,1.0,0.08
8.0,6,1.0,0.0,1.0,0.08
9.0,6,1.0,0.0,1.0,0.08
10.0,6,1.0,0.0,1.0,0.08
11.0,6,1.0,0.0,1.0,0.08
12.0,6,1.0,0.0,1.0,0.08
13.0,6,1.0,0.0,1.0,0.08
14.0,6,1.0,0.0,1.0,0.08
15.0,6,1.0,0.0,1.0,0.08
16.0,6,1.0,0.0,1.0,0.08
17.0,6,1.0,0.0,1.0,0.08
18.0,6,1.0,0.0,1.0,0.08
19.0,6,1.0,0.0,1.0,0.08
20.0,6,1.0,0.0,1.0,0.08
21.0,6,1.0,0.0,1.0,0.08
22.0,6,1.0,0.0,1.0,0.08
23.0,6,1.0,0.0,1.0,0.08
24.0,6,1.0,0.0,1.0,0.08
25.0,6,1.0,0.0,1.0,0.08
26.0,6,1.0,0.0,1.0,0.08
27.0,6,1.0,0.0,1.0,0.08
28.0,6,1.0,0.0,1.0,0.08
29.0,6,1.0,0.0,1.0,0.08
30.0,6,1.0,0.0,1.0,0.08
31.0,6,1.0,0.0,1.0,0.08
32.0,6,1.0,0.0,1.0,0.08
33.0,6,1.0,0.0,1.0,0.08
34.0,6,1.0,0.0,1.0,0.08
35.0,6,1.0,0.0,1.0,0.08
36.0,6,1.0,0.0,1.0,0.08
37.0,6,1.0,0.0,1.0,0.08
38.0,6,1.0,0.0,1.0,0.08
39.0,6,1.0,0.0,1.0,0.08
40.0,6,0.955,0.0,1.0,0.08
41.0,6,0.955,0.0,1.0,0.08
42.0,6,0.955,0.0,1.0,0.08
43.0,6,0.955,0.0,1.0,0.08
44.0,6,0.955,0.0,1.0,0.08
45.0,6,0.955,0.0,1.0,0.08
46.0,6,0.955,0.0,1.0,0.08
47.0,6,0.955,0.0,1.0,0.08
48.0,6,0.955,0.0,1.0,0.08
49.0,6,0.955,0.0,1.0,0.08
50.0,6,0.955,0.0,1.0,0.08
51.0,6,0.955,0.0,1.0,0.08
52.0,6,0.955,0.0,1.0,0.08
53.0,6,0.955,0.0,1.0,0.08
54.0,6,0.955,0.0,1.0,0.08
55.0,6,0.955,0.0,1.0,0.08
56.0,6,0.955,0.0,1.0,0.08
57.0,6,0.955,0.0,1.0,0.08
58.0,6,0.955,0.0,1.0,0.08
59.0,6,0.955,0.0,1.0,0.08
60.0,6,0.955,0.0,1.0,0.08
61.0,6,0.955,0.0,1.0,0.08
62.0,6,0.955,0.0,1.0,0.08
63.0,6,0.955,0.0,1.0,0.08
64.0,6,0.955,0.0,1.0,0.08
65.0,6,0.955,0.0,1.0,0.08
66.0,6,0.955,0.0,1.0,0.08
67.0,6,0.955,0.0,1.0,0.08
68.0,6,0.955,0.0,1.0,0.08
69.0,6,1.0,0.0,1.0,0.08
70.0,6,1.0,0.0,1.0,0.08
71.0,6,1.0,0.0,1.0,0.08
72.0,6,1.0,0.0,1.0,0.08
73.0,6,1.0,0.0,1.0,0.08
74.0,6,1.0,0.0,1.0,0.08
75.0,6,1.0,0.0,1.0,0.08
76.0,6,1.0,0.0,1.0,0.08
77.0,6,1.0,0.0,1.0,0.08
78.0,6,1.0,0.0,1.0,0.08
79.0,6,1.0,0.0,1.0,0.08
80.0,6,1.0,0.0,1.0,0.08
81.0,6,1.0,0.0,1.0,0.08
82.0,6,1.0,0.0,1.0,0.08
83.0,6,1.0,0.0,1.0,0.08
84.0,6,1.0,0.0,1.0,0.08
85.0,6,1.0,0.0,1.0,0.08
86.0,6,1.0,0.0,1.0,0.08
87.0,6,1.0,0.0,1.0,0.08
88.0,6,1.0,0.0,1.0,0.08
89.0,6,1.0,0.0,1.0,0.08
90.0,6,1.0,0.0,1.0,0.08
91.0,6,1.0,0.0,1.0,0.08
92.0,6,1.0,0.0,1.0,0.08
93.0,6,1.0,0.0,1.0,0.08
94.0,6,1.0,0.0,1.0,0.08
95.0,6,1.0,0.0,1.0,0.08
96.0,6,1.0,0.0,1.0,0.08
97.0,6,1.0,0.0,1.0,0.08
98.0,6,1.0,0.0,1.0,0.08
99.0,6,1.0,0.0,1.0,0.08
100.0,6,1.0,0.0,1.0,0.08
101.0,6,1.0,0.0,1.0,0.08
102.0,6,1.0,0.0,1.0,0.08
103.0,6,1.0,0.0,1.0,0.08
104.0,6,1.0,0.0,1.0,0.08
105.0,6,1.0,0.0,1.0,0.08
106.0,6,1.0,0.0,1.0,0.08
107.0,6,1.0,0.0,1.0,0.08
108.0,6,1.0,0.0,1.0,0.08
109.0,6,1.0,0.0,1.0,0.08
110.0,6,1.0,0.0,1.0,0.08
111.0,6,1.0,0.0,1.0,0.08
112.0,6,1.0,0.0,1.0,0.08
113.0,6,1.0,0.0,1.0,0.08
114.0,6,1.0,0.0,1.0,0.08
115.0,6,1.0,0.0,1.0,0.08
116.0,6,1.0,0.0,1.0,0.08
117.0,6,1.0,0.0,1.0,0.08
118.0,6,1.0,0.0,1.0,0.08
119.0,6,1.0,0.0,1.0,0.08
120.0,6,1.0,0.0,1.0,0.08
121.0,6,1.0,0.0,1.0,0.08
122.0,6,1.0,0.0,1.0,0.08
123.0,6,1.0,0.0,1.0,0.08
124.0,6,1.0,0.0,1.0,0.08
125.0,6,1.0,0.0,1.0,0.08
126.0,6,1.0,0.0,1.0,0.08
127.0,6,1.0,0.0,1.0,0.08
128.0,6,1.0,0.0,1.0,0.08
129.0,6,1.0,0.0,1.0,0.08
130.0,6,1.0,0.0,1.0,0.08
131.0,6,1.0,0.0,1.0,0.08
132.0,6,1.0,0.0,1.0,0.08
133.0,6,1.0,0.0,1.0,0.08
134.0,6,1.0,0.0,1.0,0.08
135.0,6,1.0,0.0,1.0,0.08
136.0,6,1.0,0.0,1.0,0.08
137.0,6,1.0,0.0,1.0,0.08
138.0,6,1.0,0.0,1.0,0.08
139.0,6,1.0,0.0,1.0,0.08
140.0,6,1.0,0.0,1.0,0.08
141.0,6,1.0,0.0,1.0,0.08
142.0,6,1.0,0.0,1.0,0.08
143.0,6,1.0,0.0,1.0,0.08
144.0,6,1.0,0.0,1.0,0.08
145.0,6,1.0,0.0,1.0,0.08
146.0,6,1.0,0.0,1.0,0.08
147.0,6,1.0,0.0,1.0,0.08
148.0,6,1.0,0.0,1.0,0.08
149.0,6,1.0,0.0,1.0,0.08
150.0,6,1.0,0.0,1.0,0.08
151.0,6,1.0,0.0,1.0,0.08
152.0,6,1.0,0.0,1.0,0.08
153.0,6,1.0,0.0,1.0,0.08
154.0,6,1.0,0.0,1.0,0.08
155.0,6,1.0,0.0,1.0,0.08
156.0,6,1.0,0.0,1.0,0.08
157.0,6,1.0,0.0,1.0,0.08
158.0,6,1.0,0.0,1.0,0.08
159.0,6,1.0,0.0,1.0,0.08
160.0,6,1.0,0.0,1.0,0.08
161.0,6,1.0,0.0,1.0,0.08
162.0,6,1.0,0.0,1.0,0.08
163.0,6,1.0,0.0,1.0,0.08
164.0,6,1.0,0.0,1.0,0.08
165.0,6,1.0,0.0,1.0,0.08
166.0,6,1.0,0.0,1.0,0.08
167.0,6,1.0,0.0,1.0,0.08
168.0,6,1.0,0.0,1.0,0.08
169.0,6,1.0,0.0,1.0,0.08
170.0,6,1.0,0.0,1.0,0.08
171.0,6,1.0,0.0,1.0,0.08
172.0,6,1.0,0.0,1.0,0.08
173.0,6,1.0,0.0,1.0,0.08
174.0,6,1.0,0.0,1.0,0.08
175.0,6,1.0,0.0,1.0,0.08
176.0,6,1.0,0.0,1.0,0.08
177.0,6,1.0,0.0,1.0,0.08
178.0,6,1.0,0.0,1.0,0.08
179.0,6,1.0,0.0,1.0,0.08
180.0,6,1.0,0.0,1.0,0.08
181.0,6,1.0,0.0,1.0,0.08
182.0,6,1.0,0.0,1.0,0.08
183.0,6,1.0,0.0,1.0,0.08
184.0,6,1.0,0.0,1.0,0.08
185.0,6,1.0,0.0,1.0,0.08
186.0,6,1.0,0.0,1.0,0.08
187.0,6,1.0,0.0,1.0,0.08
188.0,6,1.0,0.0,1.0,0.08
189.0,6,1.0,0.0,1.0,0.08
190.0,6,1.0,0.0,1.0,0.08
191.0,6,1.0,0.0,1.0,0.08
192.0,6,1.0,0.0,1.0,0.08
193.0,6,0.991,0.0,1.0,0.08
194.0,6,0.991,0.0,1.0,0.08
195.0,6,0.991,0.0,1.0,0.08
196.0,6,0.991,0.0,1.0,0.08
197.0,6,0.991,0.0,1.0,0.08
198.0,6,0.991,0.0,1.0,0.08
199.0,6,0.991,0.0,1.0,0.08
200.0,6,0.991,0.0,1.0,0.08
201.0,6,0.991,0.0,1.0,0.08
202.0,6,0.991,0.0,1.0,0.08
203.0,6,0.991,0.0,1.0,0.08
204.0,6,0.991,0.0,1.0,0.08
205.0,6,0.991,0.0,1.0,0.08
206.0,6,0.991,0.0,1.0,0.08
207.0,6,0.991,0.0,1.0,0.08
208.0,6,0.991,0.0,1.0,0.08
209.0,6,0.991,0.0,1.0,0.08
210.0,6,0.991,0.0,1.0,0.08
211.0,6,0.991,0.0,1.0,0.08
212.0,6,0.991,0.0,1.0,0.08
213.0,6,0.9459,0.0,1.0,0.08
214.0,6,0.9459,0.0,1.0,0.08
215.0,6,0.9459,0.0,1.0,0.08
216.0,6,0.9459,0.0,1.0,0.08
217.0,6,0.9459,0.0,1.0,0.08
218.0,6,0.9459,0.0,1.0,0.08
219.0,6,0.9459,0.0,1.0,0.08
220.0,6,0.9459,0.0,1.0,0.08
221.0,6,0.9459,0.0,1.0,0.08
222.0,6,0.9459,0.0,1.0,0.08
223.0,6,0.9459,0.0,1.0,0.08
224.0,6,0.991,0.0,1.0,0.08
225.0,6,0.991,0.0,1.0,0.08
226.0,6,0.991,0.0,1.0,0.08
227.0,6,0.991,0.0,1.0,0.08
228.0,6,0.991,0.0,1.0,0.08
229.0,6,0.991,0.0,1.0,0.08
230.0,6,0.991,0.0,1.0,0.08
231.0,6,0.991,0.0,1.0,0.08
232.0,6,0.991,0.0,1.0,0.08
233.0,6,1.0,0.0,1.0,0.08
234.0,6,1.0,0.0,1.0,0.08
