time,current bs,availability,cio,hyst,ttt
0.0,16,1.0,0.0,1.0,0.08
1.0,16,1.0,0.0,1.0,0.08
2.0,16,1.0,0.0,1.0,0.08
3.0,16,1.0,0.0,1.0,0.08
4.0,16,1.0,0.0,1.0,0.08
5.0,16,1.0,0.0,1.0,0.08
6.0,16,1.0,0.0,1.0,0.08
7.0,16,1.0,0.0,1.0,0.08
8.0,16,1.0,0.0,1.0,0.08
9.0,16,1.0,0.0,1.0,0.08
10.0,16,1.0,0.0,1.0,0.08
11.0,16,1.0,0.0,1.0,0.08
12.0,16,1.0,0.0,1.0,0.08
13.0,16,1.0,0.0,1.0,0.08
14.0,16,1.0,0.0,1.0,0.08
15.0,16,1.0,0.0,1.0,0.08
16.0,16,1.0,0.0,1.0,0.08
17.0,16,1.0,0.0,1.0,0.08
18.0,16,1.0,0.0,1.0,0.08
19.0,16,0.8649,0.0,1.0,0.08
20.0,16,0.8649,0.0,1.0,0.08
21.0,16,0.8649,0.0,1.0,0.08
22.0,16,0.8649,0.0,1.0,0.08
23.0,16,0.7027,0.0,1.0,0.08
24.0,16,0.7027,0.0,1.0,0.08
25.0,16,0.7027,0.0,1.0,0.08
26.0,16,0.7027,0.0,1.0,0.08
27.0,16,0.7027,0.0,1.0,0.08
28.0,16,0.8649,0.0,1.0,0.08
29.0,16,0.8649,0.0,1.0,0.08
30.0,16,0.8649,0.0,1.0,0.08
31.0,16,1.0,0.0,1.0,0.08
32.0,16,1.0,0.0,1.0,0.08
33.0,16,1.0,0.0,1.0,0.08
34.0,16,1.0,0.0,1.0,0.08
35.0,16,1.0,0.0,1.0,0.08
36.0,16,1.0,0.0,1.0,0.08
37.0,16,1.0,0.0,1.0,0.08
38.0,16,1.0,0.0,1.0,0.08
39.0,16,1.0,0.0,1.0,0.08
40.0,16,1.0,0.0,1.0,0.08
41.0,16,1.0,0.0,1.0,0.08
42.0,16,1.0,0.0,1.0,0.08
43.0,16,1.0,0.0,1.0,0.08
44.0,16,1.0,0.0,1.0,0.08
45.0,16,1.0,0.0,1.0,0.08
46.0,16,1.0,0.0,1.0,0.08
47.0,16,0.991,0.0,1.0,0.08
48.0,16,0.991,0.0,1.0,0.08
49.0,16,0.991,0.0,1.0,0.08
50.0,16,0.991,0.0,1.0,0.08
51.0,16,1.0,0.0,1.0,0.08
52.0,16,1.0,0.0,1.0,0.08
53.0,16,1.0,0.0,1.0,0.08
54.0,16,1.0,0.0,1.0,0.08
55.0,16,1.0,0.0,1.0,0.08
56.0,16,1.0,0.0,1.0,0.08
57.0,16,1.0,0.0,1.0,0.08
58.0,16,1.0,0.0,1.0,0.08
59.0,16,0.036,0.0,1.0,0.08
60.0,16,1.0,0.0,1.0,0.08
61.0,16,1.0,0.0,1.0,0.08
62.0,16,1.0,0.0,1.0,0.08
63.0,16,1.0,0.0,1.0,0.08
64.0,16,1.0,0.0,1.0,0.08
65.0,16,1.0,0.0,1.0,0.08
66.0,16,1.0,0.0,1.0,0.08
67.0,16,0.991,0.0,1.0,0.08
68.0,16,1.0,0.0,1.0,0.08
69.0,16,1.0,0.0,1.0,0.08
70.0,16,1.0,0.0,1.0,0.08
71.0,16,1.0,0.0,1.0,0.08
72.0,16,1.0,0.0,1.0,0.08
73.0,16,1.0,0.0,1.0,0.08
74.0,16,1.0,0.0,1.0,0.08
75.0,16,1.0,0.0,1.0,0.08
76.0,16,1.0,0.0,1.0,0.08
77.0,16,1.0,0.0,1.0,0.08
78.0,16,1.0,0.0,1.0,0.08
79.0,16,1.0,0.0,1.0,0.08
80.0,16,1.0,0.0,1.0,0.08
81.0,16,1.0,0.0,1.0,0.08
